,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location,city_name,object,country,UserPlase_longitude,UserPlase_latitude,UserPlase_sub_longitude,UserPlase_sub_latitude,code_nation,Tokyo_code,Tokyo_estimete_code,Geo_Flag_multi
334,334,334,553509,651,朝マックもええなあ@マクドナルド-in昭島市東京都w/https://t.co/BmllSqolYB,2022-07-17_08:56:48,0.0,0.0,0.0,0,4565848a442883a5,393253433,KoyomiNatsume,629.0,215478,子供の頃の夢に子供の心のまま乗っています。,ゾンビランドサガ,東京 昭島市,city,日本,139.331334,35.691333,139.398476,35.726315,5339,533942,533942,2
356,356,356,436812,800,I'matラーメン二郎目黒店in目黒区東京都https://t.co/OsjsLAbw09,2022-07-13_21:55:58,2.0,0.0,14.0,1,451617631d24d98c,3191036300,matcha0711,3868.0,420006,To be Happy and Exciting!,としきの城(東京),東京 目黒区,city,日本,139.661641,35.600599,139.717749,35.664149,5339,533935,533935,2
375,375,375,517070,788,I'matEXPASA海老名上りin海老名市神奈川県https://t.co/kClQkPCvuG,2022-07-16_06:53:22,0.0,0.0,0.0,0,411f0aa7fce9a8fc,196497862,Massliebchen_15,4703.0,259727,野球(巨人)／ウマ娘(スーパークリーク、キタサンブラック)／ラブライブ！(μ's︰ことり、Aqours︰梨子、虹ヶ咲：しずく、Liella!︰唐可可・夏美)／内田彩／Liyuu／fripSide／水樹奈々／逢田梨香子／高槻かなこ,大阪,神奈 海老名市,city,日本,139.368722,35.399985,139.436492,35.477447,5339,533902,533902,2
391,391,391,20891,1162,I'matA2コンテナターミナルin江東区東京都https://t.co/iHASncV04X,2022-07-01_14:51:46,0.0,0.0,1.0,0,4c1c4868f96634ed,120034506,489_series_Noto,382.0,262726,2010ギガ バンドリ・D4DJ・ちいかわ・他,DMは気紛れ,東京 江東区,city,日本,139.771307,35.582057,139.849007,35.708066,5339,533926,533926,2
441,441,441,77838,1470,ジャンボ暇つぶし@マクドナルド-in千代田区東京都https://t.co/xIBsgwF7eP,2022-07-03_06:47:49,0.0,0.0,0.0,0,28b9063fdce43645,3288522793,yukkurisann_495,716.0,67305,ツイ廃です。ERGの重症オタク🤓 🪶鳶沢みさきFC🪶 結城希亜(CV.夏和小)と二条院羽月(CV.遥そら)が好き 車垢→@_l880k 鍵→@_NullControll_ #えるカスタム同好会 #イマジナリーシスターズ,プレイ中→ Clover Day's/のーぶる☆わーくす,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
443,443,443,281088,1319,I'mat1-2番線ホームin羽村市東京都https://t.co/kgtEhYod8Q,2022-07-09_06:49:11,0.0,0.0,0.0,0,299928071b13fbb6,955225907500744704,SENZOKUSHITSUJI,836.0,39081,本業でぶの自由人 そして富士そば&iQOSヲタク📷撮るの大好き 2000年代頃を集めてます。S属さんと言われてたりと…実車はあまりよく分かりません♨️📸✈️🌎⚓🚆🚋🚂🍝🍴いんすたhttps://t.co/wQflenb38d,オレンジ色の路線,東京 羽村市,city,日本,139.29235,35.746769,139.343232,35.781343,5339,533942,533942,2
457,457,457,812114,462,I'mat上越泉in中野区東京都https://t.co/hlmL7bV5HZ,2022-07-25_00:53:18,0.0,0.0,0.0,0,a35b6b4421e1a506,107778292,rakusuke,705.0,377086,ゲーセン店員+スポット派遣 パカパカパッション/レゲー/Project DIVA AC(CN:【853】RAK＠巡一派TRF HAP:240 EXP:117 Rコード:BMKXQDNAJH)/ペンゴ！オンライン/レベルスVS/アストロ忍者マンDX/テトリス99,NakanoＴＲＦ,東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,533944,533944,2
487,487,487,792973,834,I'matCOSMICLABin千代田区東京都https://t.co/4Rahpim4NY,2022-07-24_10:56:30,0.0,0.0,3.0,0,28b9063fdce43645,116088736,robanomimisoji,2015.0,215466,🍺🩱🍠 // 📷 → @robanomimiphoto // 📹 → @robanomimivideo // わっきゃない(Z)世代,神奈川県厚木市大学病院,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
605,605,605,126045,535,I'mat円谷プロダクション砧社屋跡地in世田谷区東京都https://t.co/N20FgFCmpN,2022-07-04_17:56:55,0.0,0.0,0.0,0,1b0cfebe3424e14f,138782673,Nakaken_UPAL,2702.0,297360,円谷プロダクションがあった砧の住民。東映アニメーションのタバックも所属キリスト教会がある北新宿にあったため、ウルトラマンとプリキュアの制作現場のお膝元にて育った一般人です。ラブライブ!の舞台も、神田→沼津→お台場/原宿とお世話になりました。上記作品のキャラクターショー/イベント鑑賞、舞台/制作会社探訪を中心に活動。,地元:祖師ヶ谷大蔵 教会:大久保 職場:お台場/原宿→日比谷,東京 世田谷区,city,日本,139.582428,35.590036,139.686603,35.682992,5339,533934,533934,2
661,661,661,535077,786,I'mat渋谷近未来会館in渋谷区東京都https://t.co/RO56oGZeGb,2022-07-16_19:56:46,0.0,0.0,0.0,0,f7c22e0cf7b3af2b,631853513,keep_smiling33,341.0,14810,,東京都,東京 渋谷区,city,日本,139.661368,35.641564,139.723884,35.692138,5339,533935,533935,2
667,667,667,536905,1218,I'matサーティワンアイスクリーム-in千代田区東京都w/https://t.co/6RCRXlO1pu,2022-07-16_20:55:22,0.0,0.0,0.0,0,28b9063fdce43645,200823909,ki_Non,1612.0,134396,まだまだつづくよ～っ！ゆるゆりとラブライブがだいすきなアカウント❀*:推し→歳納京子/大坪由佳さん🎀桜内梨子/逢田梨香子さん🌸かわいいものと旅がすき👜ときどきコスプレ✨ #ゆりば 主催✿ᵕ̈* h:AZ!さん@tsukamin,京子ちゃんのリボン,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
689,689,689,833405,731,色々ほしかったけど、まだ歩くしなあと思うとなかなか。岩木屋の嶽きみバターだけ買った。さつまき立ち寄った明治屋にも無かったし。@青森県特産品センター東京店in中央区東京都https://t.co/he5yRqmXvA,2022-07-25_15:54:30,0.0,0.0,0.0,0,735b6f2b933efaf6,5835512,nijimu,981.0,71101,読書などなど、思いつきが多いです。なのでビジネス目的の方は目的に合わないと思うので、他の人をフォローしてください。,Japan,東京 中央区,city,日本,139.758528,35.644646,139.793196,35.69663,5339,533936,533936,2
700,700,700,1004339,1414,IIDXしにきた@タイトーステーション浅草店-in台東区東京都https://t.co/Urzg83519v,2022-07-30_16:54:32,0.0,0.0,0.0,0,32049a95db695cb8,88358624,DJ_KIMO,2651.0,315907,180.92.38 レトロゲーム関連のDしてます。音ゲーやVGMDJ。料理、ぐんまちゃん、80-90年代カルチャー、PUPPY MASKが好き。cover art by @raozone 過去作った料理は #キモ氏の料理 参照,鎌倉〜浅草,東京 台東区,city,日本,139.762233,35.694775,139.809743,35.731637,5339,533946,533946,2
706,706,706,334522,209,きゃらめるに惹かれた←@ローソンストア100台東清川一丁目店-in台東区東京都https://t.co/x5adI9buXU,2022-07-10_21:59:05,0.0,1.0,1.0,0,32049a95db695cb8,187332967,TamTamELT,518.0,178482,良くも悪くも典型的な獅子座のB型ですｗひそかに芸能活動やってたり。HEROや舞祭組のMVにも出演してたり。 あと、なんとなく株式会社TamTam作ってみますた(^-^) https://t.co/IaGGnAoblQ,浅草,東京 台東区,city,日本,139.762233,35.694775,139.809743,35.731637,5339,533946,533946,2
774,774,774,90843,572,I'mat浅草花劇場in台東区東京都https://t.co/1X0iAyQ1Dh,2022-07-03_16:57:37,0.0,0.0,0.0,0,32049a95db695cb8,2568706340,i_ka_ryaku,559.0,122840,🌻🐱🐰🍭,ひまり笑顔,東京 台東区,city,日本,139.762233,35.694775,139.809743,35.731637,5339,533946,533946,2
818,818,818,56820,339,I'matTOHOシネマズシャンテin千代田区東京都https://t.co/uusN0joDEb,2022-07-02_16:58:45,0.0,0.0,0.0,0,28b9063fdce43645,5949332,nagisabay,839.0,260480,人生ベイスターズ愛 / 現実とネットは区別 / 事実はひとつ真実は人の数だけ / ISTP-T /えいがしょしんしゃ / メモ代わり雑多RT多め / RTといいねは必ずしも当方の賛意や支持を示すものではありません,いんちき横浜 / Maahishmathi,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
958,958,958,868712,766,あの時も逆転の習志野で千葉を勝ち抜き甲子園ではホームランが1本も打たずにベスト8まで勝ち上がりました‼︎PLに4-1で負けましたが食い下がりました‼︎😆😆,2022-07-26_16:54:17,0.0,1.0,2.0,0,41d9dd520c812894,471828839,ooana_kan,1249.0,4254,ＫＡＮマスと申します！！夢を追いかける子ども達の応援団『夢サポートチームKAN』代表⚾️⚾️ 千葉県船橋市の和牛もつ鍋屋、地産工房KAN（漢）のマスター『 KANマス 』です‼︎KANマスキッチンカーで船橋市周辺に出没します。声を掛けてください‼︎宜しくお願いします。 習志野高校OBです。,船橋市三咲2-8-16 地産工房KAN(漢),千葉 習志野市,city,日本,139.986485,35.652517,140.085083,35.70826,5339,533937,533937,2
1055,1055,1055,197781,114,完璧な夜🟦🟥@味の素スタジアム-in調布市東京都https://t.co/97Y3BcCTLd,2022-07-06_20:59:34,0.0,0.0,1.0,0,8ffa995231a47059,135099690,uotokam,1095.0,103455,マンチェスター・ヨワイテッド、略してマン弱のにわかファンやってます。クソザコ映画評論家。🔵🔴,東京、時々沖縄,東京 調布市,city,日本,139.516831,35.632839,139.593283,35.688169,5339,533934,533934,2
1074,1074,1074,748530,1366,池袋でもやるみたいだから、絶対絶対見に行きたい！恋する惑星の梁朝偉の警官役に憧れて、私は香港に行きました！ああ、思い出の映画。ブエノスアイレスも、花樣年華も楽しみ❤️https://t.co/oKAl0PzVUG,2022-07-23_02:16:23,0.0,0.0,0.0,0,77173905596af4ab,1212394062,ayako_taimei,462.0,12355,バレエをする暇な丸の内OL🩰体操の谷川兄弟さん❤️慶應➡︎メーカー💕🚗台湾好きで中国語が専門🇹🇼も、仕事は欧州担当歴が長い。,アルムの山🇨🇭→とうきょう🇯🇵,東京 文京区,city,日本,139.717275,35.699474,139.772477,35.735929,5339,533945,533945,3
1089,1089,1089,612484,856,実家のある埼玉県東部でも、珍味売りのおばちゃんが時々来ていたなぁ…うちは北海道の親戚から送ってもらっているから要らん！と、母親が対応してた。西川口では飲み屋に若い子が送り込まれていたのですな。適材適所笑https://t.co/PllTssIZQO,2022-07-19_02:27:05,0.0,2.0,3.0,0,4fc060f8061bb535,113215686,kitako2,712.0,19665,北海道生まれの埼玉育ち、埼玉在住。某医療機器屋を手伝いつつ某道具屋（主にリハビリテーション関連）とバーのようなものを営んでいます。趣味は鉄道（主に乗りテツ）・飲酒。酔うとお歌が歌いたくなることも。●ォーリー●゛スの誰かと名前が似ていますが別人。,埼玉県,埼玉 川口市,city,日本,139.675224,35.780198,139.788259,35.887263,5339,533955,533955,3
1137,1137,1137,363816,1151,I'mat酒音in新宿区東京都https://t.co/WCJlqqNUL8,2022-07-11_17:52:50,0.0,0.0,0.0,0,7ee61f505fdfdf5c,81297429,mirumaenitobe,1347.0,77161,猫と大江健三郎とバレエと歌舞伎が好き。優れた読書体験は何よりの人生の糧。大地を守る会会員。田んぼの学校スタッフ。FC東京ソシオ、スポーツボランティア。国籍、人種、性別、職業等を理由とする差別、偏見に反対する。そうした差別偏見を助長するツイートをする人、rtやいいねする人はブロックすることもあります。,tokyo/渋谷区、神楽坂、味の素スタジアムほか,東京 新宿区,city,日本,139.673228,35.673404,139.745133,35.72991,5339,533945,533945,2
1159,1159,1159,944285,278,I'matサザエさん一家の銅像in世田谷区東京都https://t.co/0N40HGLHDl,2022-07-28_22:59:23,0.0,0.0,0.0,0,1b0cfebe3424e14f,634392187,konbukunv,727.0,126672,CHR(MT)とJPNTAXIのドライバー｡たまに旅に出るとうるさくなるアカウント｡駅メモとかパワプロとかミリシタとか,ｵﾌﾄｩﾝ,東京 世田谷区,city,日本,139.582428,35.590036,139.686603,35.682992,5339,533934,533934,2
1181,1181,1181,39689,6,I'mat高尾駅in八王子市東京都https://t.co/PoGycRcncy,2022-07-02_04:59:49,0.0,0.0,0.0,0,86315f8740971686,158233483,rapid_forkofu,520.0,60662,鉄道･バス／日向坂46(佐々久美･金村･富田)／ﾃﾞﾚﾏｽ･ﾐﾘﾏｽ･ｼｬﾆﾏｽ→箱推し、ﾗﾌﾞﾗｲﾌﾞ!ｻﾝｼｬｲﾝ!!／アニメ･声優／サークル「ビューやまなし」C101土曜東R-42a,日向坂交通事業部東京事務所,東京 八王子市,city,日本,139.161531,35.597798,139.43004,35.718529,5339,533931,533931,2
1197,1197,1197,733956,960,自分は大阪は参戦出来ないから大阪楽しんで来て下さい😃🎶,2022-07-22_16:53:43,0.0,0.0,0.0,0,28b9063fdce43645,1034237384,ponhiro_amg,538.0,57319,東京住みの大手町勤務🏙 愛車🚗:メルセデス AMG C43 W205後期型  週末はよくドライブ行ってます🚗💨                                      好きなアーティスト:浜崎あゆみ✨ 野球は埼玉西武ライオンズ⚾️,埼玉寄りの東京,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
1269,1269,1269,348808,45,京急に乗り換え@JR横浜駅in横浜市神奈川県https://t.co/9mVYyYfPh0,2022-07-11_07:59:45,0.0,0.0,0.0,0,962b0af43cd1ad6c,1396874545,metro_Hibiya07,2795.0,282266,不思議のワルツと夢見るハート。ツイフィール（https://t.co/jRVFeXYLTP）,湘南自治区,神奈 横浜市 神奈川区,city,日本,139.569658000686,35.4623070017179,139.668656003482,35.5036980000826,5339,533914,533914,2
1341,1341,1341,758662,45,I'mat駅弁屋祭in千代田区東京都https://t.co/RhF3gIOOlD,2022-07-23_10:59:45,0.0,0.0,0.0,0,28b9063fdce43645,1630626678,ofutoooon_,222.0,118943,エキセントリック音響遊戯侯爵令嬢,璃月,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
1410,1410,1410,1006232,508,#平沼翔太@沼袋駅-in中野区東京都https://t.co/oHOVjUzOdB,2022-07-30_18:58:14,0.0,0.0,2.0,0,a35b6b4421e1a506,108843434,wasevianser,1200.0,174795,ヘッダ画像は白馬大橋からの白馬三山のモルゲンロートです。ラーメン二郎／写真／埼玉西武ライオンズ／ポケモンGOTL見きれておらず、すみません。※RT多いので、RT非表示推奨,武蔵国豊島郡下練馬村,東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,533944,533944,2
1453,1453,1453,604314,1314,I'mat千代田線大手町駅-in千代田区東京都https://t.co/2mxW8XwPjf,2022-07-18_20:55:24,0.0,0.0,0.0,0,28b9063fdce43645,177510401,hp_shuu,811.0,142698,,どうせ死ぬなら派手に粋に,東京 千代田区,city,日本,139.729893,35.668551,139.782836,35.705218,5339,533945,533945,2
1487,1487,1487,7620,505,I'mat羽田空港第1・第2ターミナル駅in大田区東京都https://t.co/mbZet5Hgzd,2022-07-01_05:52:33,0.0,0.0,0.0,0,1df8c91136c4c140,141168224,garcia_paru111,595.0,134324,バニクル(@ayaka_bunnyla)が主現場です。あと、鉄道の旅とサウナが大好きです。気分屋なのでアイコンやヘッダーはコロコロ変えます。プロ野球スピリッツA、横浜ベイスターズ、食べ歩き。,サ活,東京 大田区,city,日本,139.652804,35.520696,139.826225,35.613092,5339,533925,533925,2
1545,1545,1545,1030513,909,肉玉そば広島焼きセットじゃけん@てっぱん屋台in立川市東京都https://t.co/ryVvhNo9My,2022-07-31_11:56:35,0.0,0.0,0.0,0,e9d13ad4ff9f02c1,829094023,hamanako_,128.0,17200,鶏むね肉、白米、そして冷奴納豆,減量19ヶ月目,東京 立川市,city,日本,139.352224,35.683008,139.446091,35.745344,5339,533942,533942,2
1550,1550,1550,49522,1357,I'mat上野の森美術館-in台東区東京都https://t.co/ry6LBU7ts6,2022-07-02_10:54:22,0.0,0.0,0.0,0,32049a95db695cb8,465479772,jam_hippo,167.0,26141,水樹奈々と高垣彩陽が大好き。イベントのために仕事する毎日。スフィア関連がとても多い。スフィアは2009年の結成イベントから参加。松岡君と雨宮天さんも好きです。sideMはカフェパレ、SEM。ガルパン大好き キンプリ プリズムエリート,,東京 台東区,city,日本,139.762233,35.694775,139.809743,35.731637,5339,533946,533946,2
1551,1551,1551,275970,479,ラスダン@福生消防署熊川出張所in福生市東京都https://t.co/Qs8ldXY82E,2022-07-09_03:40:56,0.0,0.0,0.0,0,632c12d964b5772f,3192248995,moooooccccchi,237.0,70465,もっちー 87year's type GB400TT SPL/anime/97year's type I'm/Friday Night of KAYAKUBO/Acoustic Guitar/T.T.鳳競/new machine''maxam''/p5r/MHR Sunbreak,ネオ東京,東京 福生市,city,日本,139.31402,35.712604,139.359855,35.754731,5339,533942,533942,2
1574,1574,1574,243516,749,I'mat浅草神社-in台東区東京都https://t.co/IaPe4lxcbb,2022-07-08_04:38:38,0.0,0.0,0.0,0,32049a95db695cb8,992985391,tama_tame,886.0,73552,I'm at なんちゃら以外のつぶやきは全部嘘です。 https://t.co/cIbZ5RyHh2,浅草,東京 台東区,city,日本,139.762233,35.694775,139.809743,35.731637,5339,533946,533946,2
1578,1578,1578,841972,787,秀の湯おすすめー天狗湯も好きだけど混んでるにゃー吉祥寺乃銭湯全部なくなったねーさびしー,2022-07-25_21:56:11,0.0,0.0,1.0,0,ae10e4565c20a69b,60781422,dareyame,4175.0,223280,2005年。当時33歳の私が「お友だちが来たら外食に困らない楽しい吉祥寺だけど、ひとりの時におひたしやお味噌汁を食べられるお店がないなぁ」と思い、バーオハナを作りました。パパッと友人と集まれなくなった30歳以上の働き盛りの独身の方、共働きのご夫婦、自炊の息抜きに寄れる居酒屋です！71line 日月定休,東京都武蔵野市吉祥寺本町(吉祥寺駅東口から徒歩1分),東京 武蔵野市,city,日本,139.524653,35.694138,139.595491,35.721864,5339,533944,533944,2
1641,1641,1641,88304,815,I'matHighlanderInnTokyoin中野区東京都https://t.co/gtkvzdY7uY,2022-07-03_14:56:18,0.0,0.0,0.0,0,a35b6b4421e1a506,150599263,Nigeuma_SS,1469.0,320843,競馬と酒とライオンズとボードゲーム。 獣医師。2022年投資6256000回収12108690,アイコンは(@kosiitai),東京 中野区,city,日本,139.624224,35.676575,139.694277,35.735556,5339,533944,533944,2
1643,1643,1643,821219,1135,I'matJR大崎駅in品川区東京都https://t.co/FRkexm478a,2022-07-25_06:51:07,0.0,0.0,0.0,0,4ad3383e25ac98d9,75483517,hatsuseno_str,316.0,28709,本当はNW屋さん何故か今は何でも屋さん、転職活動中、ITIL布教してます,Tokyo Japan,東京 品川区,city,日本,139.695191,35.584544,139.774255,35.641576,5339,533935,533935,2
1708,1708,1708,874014,392,I'mat虹のベンチin江東区東京都https://t.co/6wxIHuGsVH,2022-07-26_20:58:13,0.0,1.0,0.0,0,4c1c4868f96634ed,220621517,zaki_hmkc,1250.0,267728,Ansibleとコンテナとカレーとお台場が好き。Ansibleクックブック(共著)。ツイートは個人の見解。ちな鷹。虹ヶ咲が大好き(アニガサキ・創作料理チーム)。お台場舞台めぐりが日課。「🎀ほんとに？(2021.12.04)」カバー写真は2021.05.02撮影,台場,東京 江東区,city,日本,139.771307,35.582057,139.849007,35.708066,5339,533926,533926,2
1724,1724,1724,504489,1076,目薬くださーい👀💊@マツモトキヨシ梅島店in足立区東京都https://t.co/gYIxgjo6dQ,2022-07-15_21:54:32,0.0,0.0,1.0,0,76c498282a5a7997,43494058,clomi9999,628.0,46234,I live in Tokyo.....Foursquare/Swarm/Twitter/EyeEm/Instagram/WoTCS;clomi9999,Tokyo/Japan,東京 足立区,city,日本,139.735751,35.738659,139.858685,35.817519,5339,533945,533945,2
1735,1735,1735,95652,1211,I'matヨークベニマルつくばさくらの杜店inつくば市茨城県https://t.co/ijDVx9ovOj,2022-07-03_19:55:06,0.0,0.0,0.0,0,24f07b6d792fa678,203180609,masato_team4,176.0,42216,AKB / 谷口めぐ / 岡田奈々 / 村山彩希 / Team8 / 岡部麟(茨城) / 行天優莉奈(香川) / 日向坂 / 佐々木美玲 / おひさま / AKB劇場100MVP2019年6月8日 / 趣味→#AKB劇場 #ひなこい (実力テスト過去最高順位→歌4位·ダンス2位·バラエティ2位·知識4位) #ひな図書,茨城県,茨城 つくば市,city,日本,139.995787,35.947444,140.173305,36.236812,5339,533977,533977,2
1789,1789,1789,243942,1200,I'matAlpenTOKYOin新宿区東京都https://t.co/ocSoLx9qZC,2022-07-08_04:22:34,0.0,0.0,0.0,0,7ee61f505fdfdf5c,573571446,lexusgs350_4444,206.0,17873,レクソスからアルフォートに乗り換え。フュージョンも乗ってます。nike air jordan、普段は4t乗って地場やらたまに長距離であちらこちらに現れます。あと読売巨人軍のファンなのでプロ野球シーズンはうるさめ #ナカジの乱闘ファン,彩の国 三郷,東京 新宿区,city,日本,139.673228,35.673404,139.745133,35.72991,5339,533945,533945,2
1792,1792,1792,345189,810,あさめし@新木場駅in江東区東京都https://t.co/44r532IVuy,2022-07-11_04:36:09,0.0,0.0,0.0,0,4c1c4868f96634ed,1027920860,PL_tsujido0331,1447.0,109821,湘南不良少女 辻堂愛。 周回系珍走派。 日本語/オンドゥル語 全年齢版,超普通都市カシワ,東京 江東区,city,日本,139.771307,35.582057,139.849007,35.708066,5339,533926,533926,2
1827,1827,1827,1013837,1144,労働後、吉祥寺でのLIVEに間に合わず…メンバーの御二方には店の外で会えたのだけど色々問題が🥲…うぅう💦来月は会えますように…🙏✨✨✨今夜は家でひとりカレー食べた後にゴールデンパインで〆🍍💗https://t.co/MZp0AK8iM4,2022-07-30_23:52:28,0.0,2.0,6.0,0,dcc2630623880f96,324134246,LEBEN0308,302.0,24920,NO musicNO life! NYC大好き😆💕 野球は中日ドラゴンズ。ｿｸﾗﾃｽ、ﾍｰｹﾞﾙ、中原中也、坂口安吾、マグリット、クレーあたりの本・画集とグッとくるLIVEと福しん❤好きなミュージシャンの写真撮るのが好き。ギターはｽﾄﾗﾄｷｬｽﾀｰLOVE💓🎸✨ハシビロコウのボンゴLOVE😎❣️,だいたい、新宿をフラフラしてますw,東京 練馬区,city,日本,139.562887,35.711731,139.681129,35.779999,5339,533944,533944,2
